url,nome_olimpiada,inscricao_inicio,inscricao_fim,evento_inicio,evento_fim,documentos_inscricao,edital
https://febrace.org.br/acervo/feiras-afiliadas/feiras-afiliadas-2025/,Feiras afiliadas 2025 – FEBRACE,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.nfeiras.com/tecnologia/sa-paulo/,Feiras de Tecnologia em São Paulo,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
"https://www.cps.sp.gov.br/febrace-2025-comeca-hoje-com-14-projetos-do-cps-entre-os-classificados/#:~:text=A%2023%C2%AA%20edi%C3%A7%C3%A3o%20da%20Feira,trabalhos%20de%2012%20Etecs%20diferentes.",Febrace 2025 começa hoje com 14 projetos do CPS entre os classificados | Centro Paula Souza,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://febrace.org.br/,FEBRACE – Criatividade e Inovação,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.unisc.br/site/feira-ciencias/2025/pages/inscricoes-cap.html,Feira de Ciências – Inovação e Sustentabilidade,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.instagram.com/ficiencias_/,Instagram,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://femic.com.br/,FEMIC – Feira Mineira de Iniciação Científica,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://semanact.mcti.gov.br/,22ª Semana Nacional de Ciência e Tecnologia – Vem ai o maior evento de popularização da ciência e tecnologia do país!,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.cnnbrasil.com.br/educacao/febrace-2025-maior-feira-de-ciencias-do-brasil-comeca-hoje/,FEBRACE 2025: maior feira de ciências do Brasil começa hoje | CNN Brasil,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.fieb.org.br/noticias/feira-internacional-de-iniciacao-cientifica-fenic-2025-esta-com-inscricoes-abertas/,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.febic.com.br/,Febic - Home,Não encontrado,Não encontrado,Não encontrado,Não encontrado,"Fique ligado e envie toda a documentação necessária! Baixe,
                        preencha e envie todos os regulamentos e anexos para o seu formulário de inscrição abaixo:",https://www.febic.com.br/#regulamento
https://www.fenicba.com.br/fenic,FENIC,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,https://www.fenicba.com.br/regulamento
https://febrace.org.br/acervo/feiras-afiliadas/feiras-afiliadas-2025/,Feiras afiliadas 2025 – FEBRACE,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.nfeiras.com/tecnologia/sa-paulo/,Feiras de Tecnologia em São Paulo,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
"https://www.cps.sp.gov.br/febrace-2025-comeca-hoje-com-14-projetos-do-cps-entre-os-classificados/#:~:text=A%2023%C2%AA%20edi%C3%A7%C3%A3o%20da%20Feira,trabalhos%20de%2012%20Etecs%20diferentes.",Febrace 2025 começa hoje com 14 projetos do CPS entre os classificados | Centro Paula Souza,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.nfeiras.com/tecnologia/sa-paulo/,Feiras de Tecnologia em São Paulo,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
